text,labels
"Michael Buble can't forget his ex <p/> The Canadian singer has admitted that his ex-girlfriend Emily Blunt still holds a special place in his heart. <p/> Michael says Emily will always hold a special place in his heart. <p/> ""I will always love her and we are still friends,"" said Michael, who has been in a relationship with the Devil in Prada actress since 2005, when they met after a concert. Their love lasted until the beginning of this year, when they broke up amid rumours of infidelity. The star also admitted that after the break-up, he kept to himself and cried a lot. <p/> Tags in the article",News
"On a visit to Telekom <p/> On Friday, 24 November 2017, the 4th D class students, together with their teachers Bronja Jarc and Matej Žunec, visited the Telekom company on Titova cesta in Maribor. There we were shown around the video control conference room, the technical support headquarters - call centre, transmission systems, telephone exchange, data centre, cable gallery, power supply systems and aggregation rooms. <p/> We had a great time and gained a lot of new knowledge in telecommunications and technology!",Opinion/Argumentation
"access to information of a public nature - refusal of access - civil servants - salaries of civil servants - merit allowance <p/> Already paragraph 3 of Article 6. Article 6(3) of the ILOHR is the legal basis for allowing the applicant to be given information on the performance of an individual public servant, as it is expressly provided that access to the requested information shall be granted if it concerns information on the use of public funds or information related to the performance of the public servant's employment relationship, and performance is clearly information arising from the employment relationship of a public servant. Furthermore, there is another legal basis on the basis of which an interested party is entitled to information on the performance of public servants, namely Article 38(1) of the PPSA.",Information/Explanation
"What do you need to know about sunglasses? <p/> Choose sunglasses that look great and protect your eyes at the same time... <p/> The wide range of sunglasses in all styles, prices and characteristics can make it difficult to decide which pair of sunglasses is best for you. Finding a pair of sunglasses you like may be easier if you read now about what to look out for and what types of sunglasses are out there. What should you look for in a pair of sunglasses? Three important things: quality eye protection, comfort and fantastic style. <p/> Put UV protection on the list of characteristics you look for in sunglasses <p/> Your sunglasses should offer protection against ultraviolet radiation, a component of the sun that increases the chance of sun damage. The FDA, the government agency that oversees the manufacture and sale of sunglasses in the US, recommends that you look for sunglasses with lenses that block 99-100% of UVA and UVB radiation. The label should say either UV 400 or 100% UV protection. <p/> Lens materials in sunglasses The difference between the lens materials on sunglasses is quite small. Some surfaces are harder than others, some types are more durable. Three materials are most commonly used for sunglass lenses: - polycarbonate; long-lasting lightweight plastic. - CR-39; a plastic usually used in lenses of a prescribed quality. - Glass; durable or much heavier to wear. <p/> Sunglass lens colour and other layers <p/> UV filter is one of the layers that make up the lenses of sunglasses, but there are many others besides. <p/> Sunglass lens colour The colour of the lenses serves to absorb the light that passes through them. The colour you choose is a matter of personal taste, but you should take into account a few important features related to the colour of the lenses. - The grey colour of the lenses reduces the amount of light and at the same time does not distort the colours. - Brown and amber reduce glare, including the glare created by the blue frequency in the Sun, which can make objects look hazy. Brown and amber lenses distort colours more than grey. - Yellow lenses reduce the blur caused by blue light better than brown, sharpening vision but causing colour distortion. <p/> - Green tints in lenses reduce glare and help filter out some blue light. They offer good contrast between objects. - Pink lenses might be a good choice if you participate in water sports or other outdoor activities, as they offer good contrast between objects on a blue or green background. <p/> Sunglasses with polarised lenses The polarised layer on the lenses reduces the glare that occurs when light is reflected off certain objects such as water, asphalt and other similar surfaces. Polarised lenses are recommended, but the choice is still yours. <p/> Make sure your glasses have scratch protection A thin layer can be applied to the lenses to make them more scratch resistant. Plastic lenses scratch more easily than glass lenses. <p/> Sunglasses with mirrored lenses <p/> Some sunglasses have a mirrored surface on the outside of the lens. Although they are very popular, scratches can appear on them very quickly. <p/> Sunglasses with photochromic lenses Photochromic (or photosensitive) lenses become darker when exposed to UV radiation. The change happens quickly when you swap the darker surroundings for a lighter one. <p/> Sunglasses with an anti-reflective layer An anti-reflective layer reduces the reflection of light hitting the back of the lens, thereby protecting the rays from reflecting into the eyes. <p/> Sunglasses frame shapes <p/> Sunglasses frames are made from plastic, base metals, titanium, aluminium and many other materials. You should try different types of frames to get a feel for their weight and decide which ones suit you best. <p/> Children also need sunglasses When buying sunglasses for children, be aware that children also need protection against UV rays and glare. Forget those little toy sunglasses; buy something that will really protect your child's eyes. <p/> Sunglasses with extra eye protection - The lenses of custom-made sunglasses keep out more light and UV radiation than ordinary lenses. - Wear a hat for more protection against the sun. This will help keep your skin looking young and healthy. Experts say that the less we squint, the fewer wrinkles we have. <p/> Choose sunglasses that suit your style Sunglasses styles change every year, just like any other fashion, but there's such a wide range that no pair of glasses can go out of style. And sunglasses don't have to be expensive to be effective, so you don't need to buy a whole new collection. Designer and specialised sunglasses have a higher price tag than most other glasses, apart from those used for sports, but you can find all kinds of modern eyewear at affordable and accessible prices. It is just important to look out for the UV label. If you already know what frame shape suits you best, go to the store and try on different styles of glasses. If you get permission, you can also take them for a walk outside to see how the glasses actually perform in practice. <p/> News",Instruction
"French concept of space (+ video) <p/> In Geneva, Switzerland, French Renault is presenting the new generation of Scenic and Grand Scenic models, firmly established in the mid-size MPV segment and flirting with Renault's current design philosophy in this new generation. <p/> As is customary, the new Scenic is based on the latest version of the Megane, with some similar design elements and no significant differences in the powertrain line-up. Three petrol engines will be available when the new Scenic goes on sale, ranging from 81 to 103 kW (110 to 140 hp), while six diesel units will be available, covering power outputs from 63 to 118 kW (86 to 160 hp). <p/> Both versions are now also slightly larger, offering more passenger space and a larger boot capacity.",Promotion
"It has taken three years for this daring project to come to fruition and for the motorcycle to be on the road and on the racetrack today. We tried out KTM's latest superbike in Ascari, Spain, on a challenging and twisty two-oval track, and were left speechless. Well, almost, because we just said something to the camera. <p/> The philosophy of 'ready to race' is the theme of KTM's first superbike, which impresses with its excellent stance, terrifyingly powerful brakes, race-ready suspension and superbike handling. 155 'horsepower' and 120 Nm of torque are figures that promise a lot. But will it be enough to compete with the Japanese millennials? With the mass of a ready-to-ride motorcycle stopping at 200, the power-mass game is a very interesting one. <p/> Read all about the new KTM in the new issue of Auto magazin, on sale from 13 March 2008.",Review
Application. <p/> Rinse and repeat the process. <p/> Regular use is recommended for best results.,Instruction
"""Just this about the Rams stories: I paid interest on my home loan at the rate that applied to all consumers at the time, and I keep complete documentation to that effect. And far from extorting anything when signing the contract. I communicated with the Fund exclusively as a private individual and not as an editor of Television. However, I do remember that, because of the high interest rates, I asked the Slovenian Consumers' Association for an opinion through the official channels. <p/> Former prominent LDS politician and director of the Housing Fund, Edvard Oven, who recently published a biographical book - self-published - entitled ""The tension between appearance and truth"", reveals in the book, among other things, the meaningful story of how the - now retired - journalist Lado Ambrožič, the editor-in-chief of the TV Slovenia news programme and even former ombudsman for the rights of viewers and listeners of RTV Slovenia, blackmailed Aries, as director of the housing fund where Ambrožič got or bought his flat, for even lower interest rates on the basis of a long-term loan that he was granted anyway. <p/> From Edvard Aries' book The Tension between Appearance and Truth, pages 167 and 168. <p/> Because Oven was unwilling or unable to oblige him, Lado Ambrožič is said to have launched a reprisal campaign against Oven on public service broadcaster Lado Ambrožič. <p/> Well, today Ambrožič is a member of the RTV Programme Council, where he is working to defend the leading positions of the current business and editorial team. (Požareport)",News
"The best bikini of this year's holiday <p/> Summer is well into its last third and is inexorably saying goodbye. The September part is traditionally dominated by pensioners, who certainly have different appetites and tastes to us younger ones. The seaside ambience is much more eye-opening than usual during the year, as things come into view that you don't notice during the year. <p/> One of those is surely all the various rags that cover where the sun rarely sets... At least for most? <p/> And it's these cloths, which nowadays are even given names defined by their stylish appearance, no longer just swimwear (boxers, bikinis ... ), that give a unique look to the body. <p/> Indeed, how the look can depend on this mini garment. As swimwear is a science of its own for women, I can say, through male eyes, that this bikini, pictured here, brightened up my holiday look and is particularly memorable among all the ones I have seen. In short, it was the best swimsuit of my summer this year. I'm sure it was also influenced by the content, which certainly means one thing and brings it to a flattering conclusion.",Opinion/Argumentation
"Rayo Vallecano 2-3 Real Madrid <p/> Real Madrid won three more points at the Vallecas Stadium in a match in which they were already 0-3 up, but then things got complicated when Rayo Vallecano reduced the score from two 11th-minute penalty corners in just two minutes. Cristiano Ronaldo put Real Madrid in front in the third minute after a brilliant solo effort, and Benzema then extended the advantage in the first half when he scored with a header. The second half started in the same way as the first, with Ronaldo, the current top scorer in La Liga, hitting the net again after just four minutes of play. As with Benzema's goal, Bale was the assistant for Ronaldo's second goal, adding two more assists to his tally against Sevilla. After Real's third goal, however, everything turned upside down for Real, as the hosts had two penalty corners in just two minutes, both of which were successfully converted by Viera. Real Madrid then regained control of the game and successfully brought the match to a close, with the players already starting to think about Tuesday's game against Juventus. <p/> Real Madrid visited the Vallecas stadium with fresh memories of the big win against Sevilla three days ago at the Bernabeu and the good second half performance at the Camp Nou the week before. The start of the match did not point to an exciting ending. Already in the third minute, when Cristiano Ronaldo launched a counter-attack, he passed it to Luka Modric, who gave the ball back to him with a beautiful pass, and then Cristiano Ronaldo first played brilliantly between the legs of the last defender Rayo, and in the final minute, face-to-face, he coolly matted the home goalkeeper Martinez with a shot into the bottom far corner to put Real in the lead. A super goal from the Portuguese, showing how in great shape he and Carlo Ancelotti's team are. Real doubled their advantage in the 31st minute when Karim Benzema headed home after a precise cross from the right by Gareth Bale. It was the Welshman's third assist in the last two games and the Frenchman's third goal in four days. The visitors gave the home side a real lesson in finishing, although the Whites could have gone further ahead after the first half after Real had two more good chances. Cristiano Ronaldo tried a volley in the 44th minute after a pass from Di Maria but his shot went wide of the post, while Carvajal's header was also just missed by inches by the Ruben goalkeeper. <p/> The second half, in which Illarra replaced Xabi Alonso, who is making his comeback from a long-term injury, continued in the same way as the first, with a Real Madrid goal. In the fourth minute of the second half, Bale was at it again, winning the ball on the right, breaking into the middle and passing to Ronaldo, who scored his second goal of the game to make it 3-0. It was Cristiano Ronaldo's 13th goal in La Liga this season, making him the top scorer in the Spanish championship. After a big lead for Carlo Ancelotti's charges, everything looked like a peaceful ending, but the hosts came completely close just two minutes apart. After clumsy interventions from Pepe and Marcelo, head referee Alfonso Alvarez Iquierdo twice pointed to the harshest penalty. Jonathan Viera was the better of the two in his duel with goalkeeper Diego Lopez. The home team gained confidence after scoring twice, and it was Diego Lopez who had to prove his worth in the 65th minute when he masterfully stopped a shot by Alberto Bueno. The hosts chased the equaliser until the end of the match, and on the other side Real had a couple of chances to score their fourth goal of the game, including two more attempts from Ronaldo that were saved by the Raya goalkeeper, but the score remained 2-3 and Real's ninth victory in the Spanish championship this season.",News
"Buderus Logatherm WPLS heat pump (air/water) <p/>Buderus Logatherm WPLS heat pumps can keep your home perfectly comfortable all year round. The heat pump uses the outside air as a source of heat energy. The pumps are suitable for both new builds and renovation of existing buildings. <p/> Thanks to its modulating operation, the pump achieves maximum comfort while ensuring you need fewer pump switch-ons, reducing running costs <p/> The small dimensions of the heat pump are the right solution for space constraints as the indoor unit is wall-mounted (dimensions: 500mm x 420mm x 850mm) <p/> compact design ensures lower installation and assembly costs <p/> high-efficiency circulator is integrated <p/> the pump is already pre-filled to max. The pump is max. max. 30m long, so no additional filling between the outdoor and indoor units is required <p/> tested according to European standards as a proof of quality. <p/> WPLS split heat pumps consist of an outdoor unit and an indoor unit. The outdoor unit of the heat pump is installed outside the house and captures the energy of the air through a heat exchanger, transferring it to the cooling medium and feeding the energy to the indoor unit. The wall-mounted indoor unit of the heat pump converts the extracted energy into heat energy for heating your living space and domestic hot water. <p/> The maximum length of the gas connection between the outdoor and indoor units is 30m and the minimum length between the units is 1m. <p/> Overview of the Buderus Logatherm WPLS air/water heat pump system <p/> Indoor unit of the heat pump <p/> Use the energy of the air to heat your living spaces with the WPLS heat pump (in a split connection with the outdoor and indoor units). <p/> Comfort is taken care of both in winter and summer, as you can heat in winter and cool in summer. <p/> The heat pump is a very affordable solution for new buildings as well as adaptations, as it offers the possibility to be installed as a stand-alone unit or as an upgrade to an existing central heating system. <p/>The modulating action of the pump allows you to adapt your heat requirements to your needs. <p/> If you are space-constrained, the compact dimensions of the Buderus Logatherm WPLS make it the right solution. The indoor unit is wall-mountable, dimensions: 500mm x 420mm x 850mm. <p/> The heat pump is available in power ratings: 7kW, 5kW, 10kW and 12kW <p/> Low running costs are guaranteed by the energy-saving and highly efficient components integrated in the heat pump.",Promotion
"Slovak President to turn part of his residence into coworking space <p/> Philanthropist and former entrepreneur Andrej Kiska, who became President of Slovakia a month ago with 60% of the vote, will turn part of his presidential residence into a coworking space, according to inVentures. Kiska wants to help start-ups, young entrepreneurs and other creatives. ""In addition to fighting corruption and improving Slovakia's healthcare system, innovation is an important part of the path to sustainable economic growth,"" Kiska said, adding that although there are already a number of coworking spaces in Slovakia, Slovak start-ups are still leaving the country. ""It is very important for our country to create an ecosystem that encourages young entrepreneurs and innovators,"" Kiska stressed. <p/> The Presidential Palace will offer 1,500 square metres of space, internet connection and food services to all interested parties. The doors of the new co-working space will open this summer. <p/> Leave a comment",News
"Ocimum basilicum <p/> Widely used in vegetarian and Mediterranean cuisine for seasoning salads, sauces, spreads, in tomato and some seafood dishes. For flavouring vinegar. Tea soothes coughs and calms.",Information/Explanation
"- for skin care: dry, mature and for regeneration (tubi scars); - for asthma or recurrent respiratory problems; - for headaches and tension in the neck muscles; - for calming, for anxiety, for meditation. <p/>Making: Place beeswax and butter in a water bath to melt. Add the oils and stir (the mixture should be liquid). Add the essential oils, stir and pour into a suitable container. Cover with a paper towel and allow to cool before sealing. <p/>Use: Apply the ointment to the scar several times a day. <p/> Read the label carefully and follow the instructions for use before use!",Instruction
